;B01OG06_YYYYY_TZ102YYYYYBJ001_T001_ZV;B01OG18_YYYYY_TZ127YYYYYBJ001_T001_ZV;B01OG18_YYYYY_TZ111YYYYYBJ001_T001_ZV;B01OG18_YYYYY_TZ115YYYYYBJ001_T001_ZV;B01OG18_YYYYY_TZ114YYYYYBJ001_T001_ZV;B01UG02_YYYYY_TZ108YYYYYBJ001_T001_ZV;B01UG02_YYYYY_TZ106YYYYYBJ001_T001_ZV;B01UG02_YYYYY_TZ107YYYYYBJ001_T001_ZV;B01UG02_YYYYY_TZ101YYYYYJF001_T001_ZV;B01UG02_YYYYY_TZ110YYYYYBJ001_T001_ZV
;Waerme;Waerme;Waerme;Waerme;Waerme;Waerme;Waerme;Waerme;Waerme;Waerme
;Heizung MH/W 40/25 Heizdecken OG05 Leistung - fuer Messkonzept;Deckenlufterhitzer Technikzentralen OG18 Leistung - fuer Messkonzept;Heizdecken OG19-OG39 Leistung - fuer Messkonzept;Heizung MH/W +40 Lueftung Buero OG19-OG38 Sued Leistung - fuer Messkonzept;Heizung MH/W +40 Lueftung Buero OG19-OG38 Nord Leistung - fuer Messkonzept;Heizung MH/W +40 Heizdecken EG-OG17 Leistung - fuer Messkonzept;Heizung MH/W +40 Nachwaermer 1.UG 3-4.OG TL004 Leistung - fuer Messkonzept;Heizung MH/W +40 Fussbodenheizung - EG Leistung - fuer Messkonzept;Arealmessung Arealwasser MH/W 40/25  Leistung- fuer Messkonzept;Heizung MH/W +40 Lueftung UG03 Leistung - fuer Messkonzept
18.12.2022 01:00;8.73;11.55;43.925;0;0;164.875;0;28.975;306.25;34.55
18.12.2022 02:00;8.98;11.575;48.18125;0;0;159.41875;0;29.0375;326.2;35.34375
18.12.2022 03:00;9.08;11.55;56.45;0;0;159.1;0;28.35;357.65;34.85
18.12.2022 04:00;8.9;11.6;59.075;0;0;169.7;0;27.3;373.025;37.4
18.12.2022 05:00;9.1;11.65;51.225;0;0;170;0;18.85;323.575;39.675
18.12.2022 06:00;8.93;11.65;54.1;0;0;169.725;0;27.175;325.775;37.5
18.12.2022 07:00;9.25;11.65;57.975;0;0;178.6;0;27.7;357.2;35.375
18.12.2022 08:00;9.2;11.675;67.225;0;0;177.45;0;26.625;386;36.35
18.12.2022 09:00;9.03;11.7;63.75;0;0;170.075;0;26.525;365.3;36.4
18.12.2022 10:00;8.08;2.625;42.75;0;0;161.175;0;22.55;299.575;33.8
18.12.2022 11:00;6.43;0;31.675;0;0;109.1;0;24.125;216.925;29.525
18.12.2022 12:00;5.53;0;22.275;0;0;93.825;0;28.2;217.775;28.6
18.12.2022 13:00;5.45;0;23.425;0;0;95.95;0;18.675;238.1;27.325
18.12.2022 14:00;5.83;0;19.325;0;0;86.725;0;16.625;205.5;28.475
18.12.2022 15:00;5.53;0;17.925;0;0;75.675;0;27.8;198.575;18.35
18.12.2022 16:00;5.6;0;18.85;0;0;101.725;0;26.475;190.225;10.925
18.12.2022 17:00;5.95;0;20.1;0;0;126.3;0;27.325;194.175;17.1
18.12.2022 18:00;6.23;0;21.15;0;0;128.125;0;27.15;200.55;21.075
18.12.2022 19:00;6.1;0;20.475;0;0;121.675;0;27.175;189.875;8.425
18.12.2022 20:00;6.15;0;22.725;0;0;132.9;0;27.125;224.825;30.15
18.12.2022 21:00;6.15;0;33.15;0;0;128;0;27.3;258.425;47.325
18.12.2022 22:00;6.15;0;30;0;0;132.6;0;27.175;257.375;25.525
18.12.2022 23:00;6.15;0;25.1;0;0;122.8;0;26.975;225.675;54.9
19.12.2022 00:00;6.2;0;29.775;0;0;127.325;0;27.825;209.45;16.1
19.12.2022 01:00;6.08;0;48.475;0;0;126.65;0;27.275;279.475;24.6
19.12.2022 02:00;6.25;0;88.63;0;0;121.155;0;27.52;277.1;65.42
19.12.2022 03:00;6.1;0;74.4;0;0;124.75;0;19.3;270.75;34.825
19.12.2022 04:00;6.2;0;65.65;0;0;117.95;0;1.025;258.025;49.25
19.12.2022 05:00;6.33;0;65.625;0;0;111.225;0;0;246.35;52.375
19.12.2022 06:00;6.33;0;67.8;0;0;120.95;0;0.5;417.725;216.375
19.12.2022 07:00;6.3;0;74.65;7.425;2.8;109.375;0;0.575;389.1;170.625
19.12.2022 08:00;6.35;0;71.5;59.45;50.825;119.225;6.125;9.25;612.375;289.2
19.12.2022 09:00;6.45;0;68.575;64.975;55.05;120.825;2.475;4.975;598.15;261.775
19.12.2022 10:00;6.18;0;47.425;65.375;55.1;96.325;0;1.35;530.85;241.9
19.12.2022 11:00;5.88;0;44.775;58.175;49.875;76.1;0;3.5;506;223.05
19.12.2022 12:00;5.88;0;39.3;48.85;40.65;62.075;0;6.05;445.775;192.25
19.12.2022 13:00;5.55;0;33.625;49.15;41.5;56.175;0;3.5;421.825;193.525
19.12.2022 14:00;5.13;0;29.175;48.3;41.025;48.15;0;0;399.75;176.875
19.12.2022 15:00;5;0;26.4;45.3;39.4;47.65;0;0;375.475;177.4
19.12.2022 16:00;5.23;0;28.45;44.05;37.125;51.625;0;0;358.6;149.975
19.12.2022 17:00;5.4;0;27.825;26.9;21.45;50.875;0;0;387.45;208.925
19.12.2022 18:00;5.48;0;30.9;0;0;53.675;0;0;354.475;214.75
19.12.2022 19:00;5.65;0;29.975;0;0;56.8;0;0;314.5;187.175
19.12.2022 20:00;5.63;0;32;0;0;54.025;0;0.425;146.725;34.55
19.12.2022 21:00;5.57;0;32.65;0;0;57.3;0;17.3;178.7;37.7
19.12.2022 22:00;5.75;0;31.525;0;0;60.7;0;1.7;177.4;37.75
